File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
coffeemachine_0_12,3681,0,12,6 states,8 symbols,69,2,3,34,8,7,3,0,0.1134,5,4,475,4155,SAT,0.1227,48,48,31,43,5,17,0.86,0.65,0.9,0.7,0.8,0.8,0.3125,40.0,140.0,,5,4,475,4155,SAT,0.1515,48,48,34,42,6,14,0.85,0.71,0.88,0.80,0.80,0.80,0.3125
coffeemachine_8_25,5553,8,25,6 states,8 symbols,222,5,2,108,8,0,4,0,0.2513,6,5,1086,13058,SAT,0.1959,100,100,35,97,3,65,0.92,0.35,0.97,0.5,0.7,0.7,0.275,71.43,0.0,,6,5,1086,13058,SAT,0.2176,100,100,60,96,4,40,0.94,0.60,0.96,0.70,0.80,0.80,0.6875
coffeemachine_8_400,1306,8,400,6 states,8 symbols,3788,8,1,1516,8,0,4,0,287.986,7,6,11207,187523,SAT,2.4192,1600,1600,1509,1600,0,91,1.0,0.94,1.0,1.0,1.0,1.0,0.9583333333333334,88.89,0.0,,7,6,11207,187523,SAT,2.5886,1600,1600,1534,1600,0,66,1.00,0.96,1.00,1.00,1.00,1.00,0.9583333333333334
coffeemachine_7_50,8829,7,50,6 states,8 symbols,468,7,1,210,8,0,4,0,0.9722,6,5,1698,22106,SAT,0.1919,200,200,100,193,7,100,0.93,0.5,0.96,0.7,0.7,0.7,0.6875,87.5,0.0,,6,5,1698,22106,SAT,0.3036,200,200,138,195,5,62,0.97,0.69,0.97,0.80,0.80,0.80,0.6875
coffeemachine_1_0,8014,1,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1168,5,4,445,3839,SAT,0.0841,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0896,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.46875
coffeemachine_0_25,3681,0,25,6 states,8 symbols,210,8,2,77,8,50,4,0,0.388,7,6,1134,14941,SAT,0.3178,100,100,56,99,1,44,0.98,0.56,0.99,0.7,0.8,0.8,0.75,80.0,500.0,,7,6,1134,14941,SAT,0.3821,100,100,73,96,4,27,0.95,0.73,0.96,0.80,0.80,0.80,0.75
coffeemachine_3_0,5795,3,0,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1057,5,4,445,3839,SAT,0.0813,44,44,38,42,2,6,0.95,0.86,0.95,0.9,0.9,0.9,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.0892,44,44,41,36,8,3,0.84,0.93,0.82,0.90,0.90,0.90,0.46875
coffeemachine_8_50,5553,8,50,6 states,8 symbols,483,5,3,211,8,0,4,0,1.2404,8,7,2464,41067,SAT,0.5004,200,200,85,199,1,115,0.99,0.42,0.99,0.6,0.7,0.7,0.5902777777777778,62.5,0.0,,8,7,2464,41067,SAT,0.6258,200,200,134,197,3,66,0.98,0.67,0.98,0.80,0.80,0.80,0.5416666666666667
coffeemachine_1_6,8014,1,6,6 states,8 symbols,58,4,2,28,8,26,3,0,0.1106,5,4,445,3839,SAT,0.0809,44,44,34,34,10,10,0.77,0.77,0.77,0.8,0.8,0.8,0.46875,66.67,433.33,,5,4,445,3839,SAT,0.1031,44,44,39,34,10,5,0.80,0.89,0.77,0.80,0.80,0.80,0.46875
coffeemachine_7_12,8829,7,12,6 states,8 symbols,69,4,2,31,8,24,3,0,0.1087,5,4,460,4022,SAT,0.1081,48,48,39,42,6,9,0.87,0.81,0.88,0.8,0.8,0.8,0.4166666666666666,66.67,400.0,,5,4,460,4022,SAT,0.1592,48,48,46,42,6,2,0.88,0.96,0.88,0.90,0.90,0.90,0.41666666666666663
