File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges
bluetooth_0_75,6773,0,75,15 states,15 symbols,2020,159,254,1009,151,1111957,,,9608.0221,30,28,94047,5264009,TIMEOUT,5565.4395,,,,,,,,-1,-1,-1,,-1,-1,38.50,269238.98
bluetooth_0_37,6773,0,37,15 states,15 symbols,896,123,142,448,139,426893,,,1278.8526,30,28,77778,3843144,TIMEOUT,5521.1888,,,,,,,,-1,-1,-1,,-1,-1,46.42,161091.70
bluetooth_4_0,8493,4,0,15 states,15 symbols,223,11,46,125,98,28192,,,15.3463,14,13,16856,430751,SAT,1396.7787,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_4_18,8493,4,18,15 states,15 symbols,341,23,74,171,113,66198,,,56.8611,24,23,48480,1820600,SAT,4224.5755,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,23.71,68245.36
bluetooth_0_150,6773,0,150,15 states,15 symbols,4186,226,431,2091,161,2987192,,,131824.4119,30,28,125425,7934715,TIMEOUT,5684.1093,,,,,,,,-1,-1,-1,,-1,-1,34.40,454671.54
bluetooth_3_18,7492,3,18,15 states,15 symbols,346,18,71,173,113,64094,,,56.6424,23,22,44735,1625484,SAT,3688.2806,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,20.22,72015.73
bluetooth_6_75,5064,6,75,15 states,15 symbols,2018,169,257,1009,150,1300983,,,10202.3215,30,28,94047,5285875,TIMEOUT,5527.3288,,,,,,,,-1,-1,-1,,-1,-1,39.67,305395.07
bluetooth_5_0,5571,5,0,15 states,15 symbols,223,11,46,125,98,28192,,,14.9167,15,14,19215,511768,SAT,1604.7035,56,56,0,56,0,56,0.00,0.00,0.00,0.00,0.50,0.00,,19.30,49459.65
bluetooth_9_18,2581,9,18,15 states,15 symbols,342,26,69,171,110,53630,,,46.4761,24,23,48480,1818296,SAT,4027.1457,72,72,0,72,0,72,0.00,0.00,0.00,0.00,0.50,0.00,,27.37,56452.63
bluetooth_4_37,8493,4,37,15 states,15 symbols,906,63,146,453,134,413100,,,981.1421,30,28,77923,3759397,TIMEOUT,5541.4859,,,,,,,,-1,-1,-1,,-1,-1,30.14,197655.50
