File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model (baised_EDSM),number of hard patterns,number of blocked potential-merges by hard patterns,number of soft patterns,number of biased potential-merges by soft patterns,Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge
openSSL_3_9,6240,3,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6770,8,7,3744,57600,SAT,0.9037,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.4017857142857143,94.59
openSSL_3_0,6240,3,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.8701,8,7,3744,57600,SAT,0.8256,112,112,112,65,47,0,0.70,1.00,0.58,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_7_37,312,7,37,6 states,20 symbols,256,55,3,126,98,32558,,,17.2643,7,6,3290,49910,SAT,0.4345,148,148,148,89,59,0,0.71,1.00,0.60,0.80,0.80,0.80,0.9285714285714286,94.83
openSSL_8_4,7727,8,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8096,8,7,3744,57600,SAT,0.7886,112,112,112,61,51,0,0.69,1.00,0.54,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_2_150,180,2,150,6 states,20 symbols,1482,95,0,740,112,91694,,,806.5212,6,5,6210,91627,SAT,0.5310,600,600,205,597,3,395,0.99,0.34,0.99,0.50,0.70,0.70,0.680952380952381,100.00
openSSL_3_75,6240,3,75,6 states,20 symbols,687,117,3,343,105,117979,,,245.9593,7,6,4809,82026,SAT,0.8276,300,300,113,243,57,187,0.66,0.38,0.81,0.50,0.60,0.60,0.8571428571428571,97.50
openSSL_2_4,180,2,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.7478,8,7,3744,57600,SAT,0.8017,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_6_4,9758,6,4,6 states,20 symbols,153,35,2,75,89,11631,,,6.8697,8,7,3744,57600,SAT,0.9811,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.33163265306122447,94.59
openSSL_0_0,5989,0,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.5718,8,7,3744,57600,SAT,0.9233,112,112,112,58,54,0,0.67,1.00,0.52,0.80,0.80,0.80,0.30952380952380953,94.59
openSSL_0_75,5989,0,75,6 states,20 symbols,693,118,3,346,104,156960,,,280.7661,7,6,4830,82484,SAT,0.6446,300,300,300,181,119,0,0.72,1.00,0.60,0.80,0.80,0.80,0.9047619047619048,97.52
openSSL_2_0,180,2,0,6 states,20 symbols,153,35,2,75,89,11631,,,6.7620,8,7,3744,57600,SAT,0.7849,112,112,112,59,53,0,0.68,1.00,0.53,0.80,0.80,0.80,0.3794642857142857,94.59
openSSL_7_9,312,7,9,6 states,20 symbols,153,35,2,75,89,11631,,,6.6855,8,7,3744,57600,SAT,0.7888,112,112,112,63,49,0,0.70,1.00,0.56,0.80,0.80,0.80,0.3979591836734694,94.59
openSSL_2_37,180,2,37,6 states,20 symbols,258,58,3,128,97,30464,,,16.9195,7,6,3304,50444,SAT,0.4290,148,148,56,124,24,92,0.70,0.38,0.84,0.50,0.60,0.60,0.8916957026713124,95.08
