File,Seed,Trails,Number of walks,Size of reference graph,Alphabet_size,Size of actual model(APTA),Correct merges,Incorrect merges,Size of learned model(sicco_EDSM),Total time spent in EDSM (seconds),Number of colors used (automata_size),Number of SAT solver calls,Number of variables in the last SAT call,Number of clauses in the last SAT call,SAT result,Total time spent in SAT solver (seconds),number of Positive traces,number of Negative traces,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F-measure,Accuracy,BCR,Structural Difference,ratioOfCorrectMerge,ratioOfRejected2CompletedMerges,DFASAT Statistics_2,Number of colors used (automata_size)_2,Number of SAT solver calls_2,Number of variables in the last SAT call_2,Number of clauses in the last SAT call_2,SAT result_2,Total time spent in SAT solver (seconds)_2,number of Positive traces_2,number of Negative traces_2,True Positive_2,True Negative_2,False Positive_2,False Negative_2,Precision_2,Recall_2,Specificity_2,F-measure_2,Accuracy_2,BCR_2,Structural Difference_2
openSSL_8_2400,8312,8,2400,6 states,20 symbols,23146,11,0,6447,5901.4716,6,5,40452,587795,SAT,2.667,9600.0,9600.0,9600.0,8348.0,1252.0,0.0,0.88,1.0,0.87,0.9,0.9,0.9,0.8119047619047619,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_1_150,9292,1,150,6 states,20 symbols,1506,10,0,662,9.0906,6,5,5742,78643,SAT,0.493,600.0,600.0,232.0,568.0,32.0,368.0,0.88,0.39,0.95,0.5,0.7,0.7,0.8119047619047619,100.0,0.0,,6,5,5742,78643,SAT,0.5153,600,600,328,595,5,272,0.98,0.55,0.99,0.70,0.80,0.80,0.838095238095238
openSSL_6_75,9758,6,75,6 states,20 symbols,691,22,5,331,11.5935,11,10,9581,200414,SAT,15.0018,300.0,300.0,116.0,243.0,57.0,184.0,0.67,0.39,0.81,0.5,0.6,0.6,0.2857142857142857,81.48,0.0,,11,10,9581,200414,SAT,19.2684,300,300,300,139,161,0,0.65,1.00,0.46,0.80,0.70,0.70,0.2857142857142857
openSSL_5_1200,1890,5,1200,6 states,20 symbols,11918,11,0,3148,1345.2894,6,5,20658,297483,SAT,4.4477,4800.0,4800.0,1734.0,4677.0,123.0,3066.0,0.93,0.36,0.97,0.5,0.7,0.7,0.7857142857142857,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_5_75,3796,5,75,6 states,20 symbols,676,21,3,323,7.5474,10,9,8140,158121,SAT,6.1376,300.0,300.0,115.0,253.0,47.0,185.0,0.71,0.38,0.84,0.5,0.6,0.6,0.2579365079365079,87.5,0.0,,10,9,8140,158121,SAT,5.6320,300,300,178,250,50,122,0.78,0.59,0.83,0.70,0.70,0.70,0.3968253968253968
openSSL_5_600,6634,5,600,6 states,20 symbols,6173,11,0,1847,742.4927,6,5,12852,182995,SAT,2.2381,2400.0,2400.0,1012.0,2314.0,86.0,1388.0,0.92,0.42,0.96,0.6,0.7,0.7,0.7595238095238095,100.0,0.0,,6,5,12852,182995,SAT,0.9675,2400,2400,1031,2297,103,1369,0.91,0.43,0.96,0.60,0.70,0.70,0.7595238095238095
openSSL_4_18,6940,4,18,6 states,20 symbols,153,15,6,76,0.1955,7,6,2940,40284,SAT,0.3649,112.0,112.0,112.0,68.0,44.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.5238095238095238,71.43,0.0,,7,6,2940,40284,SAT,0.3675,112,112,77,74,38,35,0.67,0.69,0.66,0.70,0.70,0.70,0.38095238095238093
openSSL_7_2400,662,7,2400,6 states,20 symbols,23121,11,0,10852,5089.286,6,5,66882,975435,SAT,7.7948,9600.0,9600.0,2977.0,9461.0,139.0,6623.0,0.96,0.31,0.99,0.5,0.6,0.6,0.8119047619047619,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_2_1200,7810,2,1200,6 states,20 symbols,11884,11,0,3322,1286.2243,6,5,21702,312795,SAT,4.5094,4800.0,4800.0,1739.0,4643.0,157.0,3061.0,0.92,0.36,0.97,0.5,0.7,0.7,0.7595238095238095,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_2_150,180,2,150,6 states,20 symbols,1482,10,0,655,9.4728,6,5,5700,78027,SAT,0.4955,600.0,600.0,205.0,599.0,1.0,395.0,1.0,0.34,1.0,0.5,0.7,0.7,0.838095238095238,100.0,0.0,,6,5,5700,78027,SAT,0.5347,600,600,342,595,5,258,0.99,0.57,0.99,0.70,0.80,0.80,0.838095238095238
openSSL_6_18,9758,6,18,6 states,20 symbols,153,15,6,76,0.1949,7,6,2940,40284,SAT,0.6084,112.0,112.0,112.0,59.0,53.0,0.0,0.68,1.0,0.53,0.8,0.8,0.8,0.5476190476190477,71.43,0.0,,7,6,2940,40284,SAT,0.3751,112,112,73,73,39,39,0.65,0.65,0.65,0.70,0.70,0.70,0.38095238095238093
openSSL_5_0,3796,5,0,6 states,20 symbols,153,15,6,76,0.1959,7,6,2940,40284,SAT,0.3568,112.0,112.0,112.0,72.0,40.0,0.0,0.74,1.0,0.64,0.8,0.8,0.8,0.5,71.43,0.0,,7,6,2940,40284,SAT,0.3838,112,112,73,71,41,39,0.64,0.65,0.63,0.60,0.60,0.60,0.38095238095238093
openSSL_8_4,7727,8,4,6 states,20 symbols,153,15,6,76,0.1977,7,6,2940,40284,SAT,0.3642,112.0,112.0,49.0,89.0,23.0,63.0,0.68,0.44,0.79,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.3647,112,112,70,70,42,42,0.62,0.62,0.62,0.60,0.60,0.60,0.38095238095238093
openSSL_9_1200,7229,9,1200,6 states,20 symbols,11873,11,0,5627,1036.0586,6,5,35532,515635,SAT,5.4292,4800.0,4800.0,1742.0,4635.0,165.0,3058.0,0.91,0.36,0.97,0.5,0.7,0.7,0.7595238095238095,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_2_300,6118,2,300,6 states,20 symbols,3086,11,0,908,183.9788,6,5,7218,100363,SAT,1.2809,1200.0,1200.0,593.0,1038.0,162.0,607.0,0.79,0.49,0.86,0.6,0.7,0.7,0.6547619047619048,100.0,0.0,,6,5,7218,100363,SAT,0.5898,1200,1200,595,1033,167,605,0.78,0.50,0.86,0.60,0.70,0.70,0.6547619047619048
openSSL_1_1200,858,1,1200,6 states,20 symbols,11914,11,0,3016,1108.4645,6,5,19866,285867,SAT,4.7967,4800.0,4800.0,1753.0,4651.0,149.0,3047.0,0.92,0.37,0.97,0.5,0.7,0.7,0.7595238095238095,100.0,0.0,,,,,,,,,,,,,,,,,,,,
openSSL_4_9,6940,4,9,6 states,20 symbols,153,15,6,76,0.1959,7,6,2940,40284,SAT,0.3515,112.0,112.0,112.0,68.0,44.0,0.0,0.72,1.0,0.61,0.8,0.8,0.8,0.5301974448315911,71.43,0.0,,7,6,2940,40284,SAT,0.3880,112,112,77,74,38,35,0.67,0.69,0.66,0.70,0.70,0.70,0.38095238095238093
openSSL_7_18,312,7,18,6 states,20 symbols,153,15,6,76,0.2009,7,6,2940,40284,SAT,0.3486,112.0,112.0,112.0,63.0,49.0,0.0,0.7,1.0,0.56,0.8,0.8,0.8,0.5301974448315911,71.43,0.0,,7,6,2940,40284,SAT,0.3938,112,112,68,80,32,44,0.68,0.61,0.71,0.60,0.70,0.70,0.38095238095238093
openSSL_1_0,9292,1,0,6 states,20 symbols,153,15,6,76,0.1951,7,6,2940,40284,SAT,0.3779,112.0,112.0,49.0,91.0,21.0,63.0,0.7,0.44,0.81,0.5,0.6,0.6,0.4047619047619047,71.43,0.0,,7,6,2940,40284,SAT,0.4065,112,112,74,83,29,38,0.72,0.66,0.74,0.70,0.70,0.70,0.38095238095238093
